"conf_rank","pt_seq","pop_mean","pop_sd","zscore","prob"
1,-15,6.78875,1.88255104512467,-18.6061439170965,2.78911452398331e-31
1,-14.9,6.78875,1.88255104512467,-18.5061439170965,5.17404027028388e-31
1,-14.8,6.78875,1.88255104512467,-18.4061439170965,9.57142641773182e-31
1,-14.7,6.78875,1.88255104512467,-18.3061439170965,1.76565970964459e-30
1,-14.6,6.78875,1.88255104512467,-18.2061439170965,3.24803657012835e-30
1,-14.5,6.78875,1.88255104512467,-18.1061439170965,5.95824635199707e-30
1,-14.4,6.78875,1.88255104512467,-18.0061439170965,1.08993280670345e-29
1,-14.3,6.78875,1.88255104512467,-17.9061439170965,1.98822166008207e-29
1,-14.2,6.78875,1.88255104512467,-17.8061439170965,3.61671066887863e-29
1,-14.1,6.78875,1.88255104512467,-17.7061439170965,6.56064758439252e-29
1,-14,6.78875,1.88255104512467,-17.6061439170965,1.18676222436393e-28
1,-13.9,6.78875,1.88255104512467,-17.5061439170965,2.14074465206485e-28
1,-13.8,6.78875,1.88255104512467,-17.4061439170965,3.85079376320112e-28
1,-13.7,6.78875,1.88255104512467,-17.3061439170965,6.90748546555639e-28
1,-13.6,6.78875,1.88255104512467,-17.2061439170965,1.23558924355635e-27
1,-13.5,6.78875,1.88255104512467,-17.1061439170965,2.20400598485199e-27
1,-13.4,6.78875,1.88255104512467,-17.0061439170965,3.92045095510805e-27
1,-13.3,6.78875,1.88255104512467,-16.9061439170965,6.95414882891653e-27
1,-13.2,6.78875,1.88255104512467,-16.8061439170965,1.23008956154706e-26
1,-13.1,6.78875,1.88255104512467,-16.7061439170965,2.16977339265867e-26
1,-13,6.78875,1.88255104512467,-16.6061439170965,3.81660327318384e-26
1,-12.9,6.78875,1.88255104512467,-16.5061439170965,6.69460181660997e-26
1,-12.8,6.78875,1.88255104512467,-16.4061439170965,1.17100211360001e-25
1,-12.7,6.78875,1.88255104512467,-16.3061439170965,2.04256509244669e-25
1,-12.6,6.78875,1.88255104512467,-16.2061439170965,3.55287178873759e-25
1,-12.5,6.78875,1.88255104512467,-16.1061439170965,6.16266663243497e-25
1,-12.4,6.78875,1.88255104512467,-16.0061439170965,1.0659661966658e-24
1,-12.3,6.78875,1.88255104512467,-15.9061439170965,1.83867053875346e-24
1,-12.2,6.78875,1.88255104512467,-15.8061439170965,3.16264350034902e-24
1,-12.1,6.78875,1.88255104512467,-15.7061439170965,5.42478479014737e-24
1,-12,6.78875,1.88255104512467,-15.6061439170965,9.27899311602564e-24
1,-11.9,6.78875,1.88255104512467,-15.5061439170965,1.58272467307044e-23
1,-11.8,6.78875,1.88255104512467,-15.4061439170965,2.69213101744296e-23
1,-11.7,6.78875,1.88255104512467,-15.3061439170965,4.56639451324588e-23
1,-11.6,6.78875,1.88255104512467,-15.2061439170965,7.72391004881366e-23
1,-11.5,6.78875,1.88255104512467,-15.1061439170965,1.30282969412017e-22
1,-11.4,6.78875,1.88255104512467,-15.0061439170965,2.19141625012922e-22
1,-11.3,6.78875,1.88255104512467,-14.9061439170965,3.67577586922273e-22
1,-11.2,6.78875,1.88255104512467,-14.8061439170965,6.14837306329287e-22
1,-11.1,6.78875,1.88255104512467,-14.7061439170965,1.02555409999812e-21
1,-11,6.78875,1.88255104512467,-14.6061439170965,1.70586338423967e-21
1,-10.9,6.78875,1.88255104512467,-14.5061439170965,2.82954993487038e-21
1,-10.8,6.78875,1.88255104512467,-14.4061439170965,4.68034705871184e-21
1,-10.7,6.78875,1.88255104512467,-14.3061439170965,7.72016306294485e-21
1,-10.6,6.78875,1.88255104512467,-14.2061439170965,1.26988019458402e-20
1,-10.5,6.78875,1.88255104512467,-14.1061439170965,2.08298926223652e-20
1,-10.4,6.78875,1.88255104512467,-14.0061439170965,3.40721440721254e-20
1,-10.3,6.78875,1.88255104512467,-13.9061439170965,5.55776520021417e-20
1,-10.2,6.78875,1.88255104512467,-13.8061439170965,9.04043601930063e-20
1,-10.1,6.78875,1.88255104512467,-13.7061439170965,1.46644967018868e-19
1,-10,6.78875,1.88255104512467,-13.6061439170965,2.37210389495003e-19
1,-9.9,6.78875,1.88255104512467,-13.5061439170965,3.82638943261744e-19
1,-9.8,6.78875,1.88255104512467,-13.4061439170965,6.15508009422424e-19
1,-9.7,6.78875,1.88255104512467,-13.3061439170965,9.87341725112938e-19
1,-9.6,6.78875,1.88255104512467,-13.2061439170965,1.57939471676108e-18
1,-9.5,6.78875,1.88255104512467,-13.1061439170965,2.51943668258692e-18
1,-9.4,6.78875,1.88255104512467,-13.0061439170965,4.00779929745058e-18
1,-9.3,6.78875,1.88255104512467,-12.9061439170965,6.35767619809295e-18
1,-9.2,6.78875,1.88255104512467,-12.8061439170965,1.00572893978498e-17
1,-9.1,6.78875,1.88255104512467,-12.7061439170965,1.58655002934684e-17
1,-9,6.78875,1.88255104512467,-12.6061439170965,2.49584184655438e-17
1,-8.9,6.78875,1.88255104512467,-12.5061439170965,3.91535374565356e-17
1,-8.8,6.78875,1.88255104512467,-12.4061439170965,6.12513680946992e-17
1,-8.7,6.78875,1.88255104512467,-12.3061439170965,9.5554604238132e-17
1,-8.6,6.78875,1.88255104512467,-12.2061439170965,1.48654710995339e-16
1,-8.5,6.78875,1.88255104512467,-12.1061439170965,2.30620107557528e-16
1,-8.4,6.78875,1.88255104512467,-12.0061439170965,3.56785587348044e-16
1,-8.3,6.78875,1.88255104512467,-11.9061439170965,5.50439105721548e-16
1,-8.2,6.78875,1.88255104512467,-11.8061439170965,8.46843807968327e-16
1,-8.1,6.78875,1.88255104512467,-11.7061439170965,1.2992407238375e-15
1,-8,6.78875,1.88255104512467,-11.6061439170965,1.98778049536983e-15
1,-7.9,6.78875,1.88255104512467,-11.5061439170965,3.03277324161427e-15
1,-7.8,6.78875,1.88255104512467,-11.4061439170965,4.61428479813918e-15
1,-7.7,6.78875,1.88255104512467,-11.3061439170965,7.00103140023535e-15
